,cluster_id,curvature,x,y,z,average_potential
0,1,-5.23,1.7247880184331796,-11.514124423963132,-18.344410138248847,-25.200932258064515
1,2,15.98,3.6484485436893204,-7.376409708737865,-24.12760970873786,-31.776899029126213
2,3,-4.59,9.760853107344634,-9.920892655367233,-17.819276836158192,-26.61897457627118
3,4,-12.73,8.775387368421052,-3.1058084210526316,-22.179989473684213,-31.38387221052631
4,5,16.79,-3.8202946593001843,-6.775302025782689,-24.5285561694291,-19.887699815837937
5,6,10.41,-3.9742377622377623,-3.7582470862470863,-16.098729603729602,-19.53062587412587
6,7,-8.21,-0.5794151376146789,-10.552864678899082,-10.352782110091743,-19.051158027522934
7,8,-3.87,6.068032407407408,-12.72751851851852,-4.761791666666666,-27.08765
8,9,11.71,11.778362857142856,-10.51492,-10.543645714285713,-25.171734571428576
9,10,8.42,13.465906066536203,0.7514109589041096,-15.063291585127203,-25.16990097847358
10,11,-17.4,2.0235402298850573,3.0255344827586206,-19.36571264367816,-31.475640804597703
11,12,9.99,6.8645505226480825,6.841247386759583,-15.35398257839721,-19.286611498257837
12,13,-7.84,9.781968523002421,5.038501210653752,-5.856002421307506,-33.50161767554479
13,14,13.08,-1.3833037542662117,6.3309419795221835,-12.809993174061434,-15.615858361774745
14,15,11.22,-0.2353777777777778,3.1241802469135806,-5.876338271604938,-20.15096691358025
15,16,-8.65,18.328019933554817,-8.70613953488372,2.1334285714285715,-25.82339700996678
16,17,14.58,15.650161849710983,-7.306962427745664,-5.402630057803468,-36.148256647398846
17,18,-3.47,2.2045866261398177,-6.035094224924012,-1.6824255319148937,-31.86494255319149
18,19,17.05,4.732141025641026,-7.924458974358975,6.621302564102564,-31.568147692307694
19,20,14.55,7.387508810572688,-12.915273127753304,2.1426431718061676,-26.59471718061674
20,21,13.85,9.01098167539267,8.731426701570681,4.698316753926702,-24.441948167539266
21,22,-6.33,3.321826347305389,2.863816367265469,3.3157385229540917,-23.96516407185629
22,23,14.75,19.412966666666666,0.5307222222222222,-8.3792,-14.954466666666667
23,24,12.12,19.671790874524717,-0.6466311787072244,-2.1694296577946766,-26.34844106463878
24,25,8.59,13.973919786096259,5.821550802139038,0.4650213903743317,-32.55879625668449
25,26,-4.5,19.449314569536423,2.7840993377483443,4.708433774834438,-33.57868377483443
26,27,22.4,27.945308035714284,10.655330357142857,13.833321428571427,-8.826982142857144
27,28,12.88,27.839655440414507,-1.1620958549222797,11.496554404145078,-19.668084974093265
28,29,9.92,26.037582375478923,3.130752873563219,15.145241379310345,-36.153761494252876
29,30,-6.67,8.908356020942406,0.17209947643979048,9.139848167539267,-40.360303664921474
30,31,-8.61,10.55230281690141,-7.371260563380282,11.511795774647887,-26.055464788732397
31,32,21.79,15.92192883895131,1.3368913857677902,21.796116104868915,-27.826688014981272
32,33,14.96,13.901253822629966,-4.140146788990825,16.330954128440368,-33.31829449541285
33,34,15.0,17.441359683794467,6.132494071146246,13.445982213438734,-26.353633201581026
34,35,-5.15,22.741388297872337,-4.051537234042554,7.2838191489361686,-31.830763297872338
35,36,-1.04,20.8480243902439,-7.335043902439023,13.209160975609755,-35.93280048780488
36,37,20.44,34.37117407407408,-8.013596296296296,74.79072222222221,-6.519693703703704
37,38,13.41,32.05167474048443,-4.517430795847751,69.6481937716263,-16.288170588235296
